"state","county_name","year","total_pop_15to64","black_pop_15to64","total_jail_pop","black_jail_pop","aapi_jail_pop","latinx_jail_pop","native_jail_pop","white_jail_pop","other_race_jail_pop","PercentofTotalPop_Black","PercentofJailPop_Black","PercentofTotalPopinJail"
"WA","King County",2000,1231107,69992,2741.75,894.88,109.71,174.41,84,1699.5,11,5.68528974329607,32.6390079328896,0.222706068603298
"WA","King County",2002,1253996,73480,3091.25,1030.08,113.82,253.6,83,1797.1,8.68,5.85966781393242,33.3224423776789,0.246511950596334
"WA","King County",2004,1268605,76569,2785.75,954.64,116.84,252.82,77,1554.7,16,6.03568486644779,34.2686888629633,0.219591598645757
"WA","King County",2006,1307731,81007,3035,1022.12,167.8,255.27,82.5,1648.29,11.82,6.19446965775072,33.6777594728171,0.232081368415982
"WA","King County",2008,1345352,86285,3051.71,993.36,146.94,237.48,73,1619.87,11.5,6.41356314183946,32.5509304619377,0.226833572180366
"WA","King County",2010,1380118,91354,2732.43,966.6,135.06,207.69,73,1468.45,10.64,6.61928907528197,35.3751056751683,0.197985244739943
"WA","King County",2012,1421957,97191,2642.14,869.34,142.03,185.37,64.46,1368.03,8.69,6.83501681133818,32.9028741853195,0.185810119433991
"WA","King County",2014,1465250,101991,2900,935.45,172.31,212.36,94.5,1701.32,9.78,6.96065517829722,32.2568965517241,0.197918443951544
"WA","King County",2016,1516661,107559,2888,880.95,155.71,180.38,60,1387.32,8.59,7.09182869474457,30.5038088642659,0.190418293870549
"WA","King County",2018,1556882,114072,3060,943.95,164.54,176.27,81,1565.32,0,7.3269522031856,30.8480392156863,0.196546687546005
