"state","county_name","year","total_jail_pop","black_jail_pop","PercentofJailPop_Black"
"WA","Adams County",2018,32,0,0
"WA","Asotin County",2018,50,4,8
"WA","Benton County",2018,590,36,6.10169491525424
"WA","Chelan County",2018,206.3,5.5,2.66602035870092
"WA","Clallam County",2018,164,3,1.82926829268293
"WA","Clark County",2018,680,91,13.3823529411765
"WA","Columbia County",2018,7,0.71,10.1428571428571
"WA","Cowlitz County",2018,299,6,2.0066889632107
"WA","Douglas County",2018,114.03,3.04,2.66596509690432
"WA","Ferry County",2018,30,1,3.33333333333333
"WA","Franklin County",2018,186,19,10.2150537634409
"WA","Garfield County",2018,7,0,0
"WA","Grant County",2018,215,11,5.11627906976744
"WA","Grays Harbor County",2018,177,3.86,2.18079096045198
"WA","Island County",2018,51.37,2.42,4.71092077087794
"WA","Jefferson County",2018,48,2,4.16666666666667
"WA","King County",2018,3060,943.95,30.8480392156863
"WA","Kitsap County",2018,429,64,14.9184149184149
"WA","Kittitas County",2018,99,6,6.06060606060606
"WA","Klickitat County",2018,38,1.43,3.76315789473684
"WA","Lewis County",2018,203,20,9.85221674876847
"WA","Lincoln County",2018,22,3,13.6363636363636
"WA","Mason County",2018,117,1,0.854700854700855
"WA","Okanogan County",2018,83.67,1.46,1.74495040038245
"WA","Pacific County",2018,40,1.06,2.65
"WA","Pend Oreille County",2018,30,0,0
"WA","Pierce County",2018,1222,343,28.0687397708674
"WA","San Juan County",2018,9.63,0.45,4.67289719626168
"WA","Skagit County",2018,247,9,3.64372469635628
"WA","Skamania County",2018,28,1,3.57142857142857
"WA","Snohomish County",2018,1038,111.06,10.6994219653179
"WA","Spokane County",2018,1027,134,13.047711781889
"WA","Stevens County",2018,40,1,2.5
"WA","Thurston County",2018,493,52.9,10.7302231237322
"WA","Wahkiakum County",2018,10,0,0
"WA","Walla Walla County",2018,73,3,4.10958904109589
"WA","Whatcom County",2018,411,24,5.83941605839416
"WA","Whitman County",2018,38,1,2.63157894736842
"WA","Yakima County",2018,1150,81.55,7.09130434782609
